aset_id,opd_id,kategori_kib,kondisi,status,luas_m2,umur_aset,address,lat,lon,poi_kampus_n,poi_kampus_d,poi_sekolah_n,poi_sekolah_d,poi_mal_n,poi_mal_d,poi_pasar_n,poi_pasar_d,poi_rumah_sakit_n,poi_rumah_sakit_d,poi_puskesmas_n,poi_puskesmas_d,poi_stasiun_n,poi_stasiun_d,poi_kantor_n,poi_kantor_d,poi_tempat_budaya_n,poi_tempat_budaya_d,poi_total,y_jenis,y_kontribusi,y_permintaan
aset-0010,3,0,1,0,2216,21,"Jl. Iskandar Muda No. 40, Kel. Kesawan Kec. Medan Baru, Kota Medan",3.576506,98.665498,2,1.7853,5,1.8675,6,1.0929,2,1.933,4,1.1885,2,2.0572,1,1.9699,1,2.2126,7,1.7296,30,2,140700000,2
aset-0011,1,2,0,0,809,14,"Lingkungan Gatot Subroto No. 25, Kel. Pusat Pasar Kec. Medan Timur, Kota Medan",3.549706,98.65606,1,1.4805,0,5.0,1,2.3354,1,1.0259,0,4.3048,1,1.2142,0,5.0,0,5.0,0,4.1856,4,1,700000,0
aset-0012,4,0,0,1,601,18,"Jl. Marelan Raya No. 25, Kel. Pandan Selamat Kec. Medan Kota, Kota Medan",3.613712,98.659976,1,2.2787,3,2.6617,2,1.834,1,2.6078,3,2.3694,1,2.1541,0,3.2436,1,2.7539,2,2.3658,14,2,3300000,1
aset-0013,1,0,1,1,2702,24,"Jl. Putri Hijau No. 3, Kel. Pusat Pasar Kec. Medan Timur, Kota Medan",3.515358,98.67558,0,5.0,0,5.0,0,5.0,0,4.5902,0,5.0,0,4.6692,0,5.0,0,5.0,0,5.0,0,2,9400000,0
aset-0014,5,0,0,1,2472,24,"Jl. Marelan Raya No. 5, Kel. Pasar Merah Kec. Medan Deli, Kota Medan",3.548593,98.681436,0,3.1689,0,4.0081,1,2.5323,1,2.0895,0,4.0354,1,2.0014,0,4.6305,0,5.0,1,2.9601,4,0,5800000,1
aset-0015,1,2,0,1,979,23,"Jl. Katamso No. 6, Kel. Merdeka Kec. Medan Selayang, Kota Medan",3.554356,98.65204,1,1.0968,0,4.7479,1,2.2614,1,1.2955,0,4.0642,1,1.4499,0,4.8355,0,5.0,0,3.8662,4,2,3400000,0
aset-0016,6,2,0,1,2352,9,"Jl. HM Yamin No. 30, Kel. Sunggal Kec. Medan Perjuangan, Kota Medan",3.575203,98.702837,1,2.7832,3,1.1522,3,2.4597,1,1.3277,2,1.394,0,4.7108,0,3.3058,0,3.7299,3,2.0726,13,2,13700000,1
aset-0017,5,2,0,2,793,6,"Jl. Gatot Subroto No. 25, Kel. Kesawan Kec. Medan Polonia, Kota Medan",3.59644,98.68022,3,0.7715,7,0.6805,6,0.8383,2,1.0924,8,0.0994,1,1.6967,1,0.8003,1,0.6397,7,0.5221,36,2,137700000,2
aset-0018,3,0,1,0,784,7,"Jl. Putri Hijau No. 18, Kel. Polonia Kec. Medan Timur, Kota Medan",3.589848,98.655379,2,2.4994,3,1.8776,6,2.1802,1,1.7687,3,1.0719,1,1.2117,1,2.3995,1,2.2259,5,0.1033,23,2,136800000,2
aset-0019,2,2,2,0,1377,19,"Komplek Veteran No. 50, Kel. Gaharu Kec. Medan Perjuangan, Kota Medan",3.607833,98.636908,0,4.6756,0,4.2293,0,3.9835,0,4.1273,0,3.7556,0,3.4286,0,4.8712,0,4.4985,1,2.9012,1,4,400000,1
aset-0020,2,0,0,1,1448,8,"Jl. Cut Mutia No. 1, Kel. Aur Kec. Medan Area, Kota Medan",3.594147,98.713371,1,2.787,1,2.4456,1,2.372,1,2.6335,2,2.4676,0,5.0,0,4.0626,0,4.2583,0,3.571,6,2,1700000,1
aset-0021,3,2,0,1,378,19,"Jl. Sutomo No. 1, Kel. Merdeka Kec. Medan Perjuangan, Kota Medan",3.526835,98.708036,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,100000,0
aset-0022,6,0,2,1,2401,15,"Lingkungan Marelan Raya No. 16, Kel. Pulo Brayan Kec. Medan Selayang, Kota Medan",3.579869,98.70858,1,2.8505,3,1.5256,1,2.4561,1,1.7452,2,1.7638,0,5.0,0,3.6813,0,4.0444,2,2.733,10,2,13100000,1
aset-0023,1,0,0,0,5526,16,"Jl. Marelan Raya No. 6, Kel. Pusat Pasar Kec. Medan Selayang, Kota Medan",3.568609,98.647297,1,1.2253,0,3.8563,1,2.3046,1,2.3744,0,3.0001,1,2.4137,0,4.0649,0,4.1741,1,2.4231,5,0,3500000,1
aset-0024,5,2,0,1,2262,13,"Jl. Balai Kota No. 20, Kel. Suka Maju Kec. Medan Helvetia, Kota Medan",3.630559,98.665683,1,1.7073,0,3.7697,1,0.7779,0,4.2178,1,2.8487,0,3.9547,0,4.6815,0,4.1946,0,4.0733,3,1,1700000,1
aset-0025,2,0,1,0,9707,9,"Jl. Cut Mutia No. 50, Kel. Sikambing Kec. Medan Kota, Kota Medan",3.583654,98.670697,4,1.059,6,0.8953,7,0.4831,2,1.0398,6,0.2081,1,1.4112,1,0.9936,1,1.2456,7,0.7615,35,2,919500000,2
aset-0026,5,2,1,2,3029,22,"Jl. Diponegoro No. 42, Kel. Aur Kec. Medan Labuhan, Kota Medan",3.532193,98.655043,0,3.4311,0,5.0,0,4.1288,1,2.7015,0,5.0,1,2.8686,0,5.0,0,5.0,0,5.0,2,1,1400000,1
aset-0027,3,2,0,1,557,23,"Jl. Sisingamangaraja No. 14, Kel. Sikambing Kec. Medan Barat, Kota Medan",3.547639,98.626953,0,3.7269,0,5.0,0,5.0,0,4.1574,0,5.0,0,4.3237,0,5.0,0,5.0,0,5.0,0,1,300000,0
aset-0028,4,0,0,1,7192,21,"Jl. Sisingamangaraja No. 40, Kel. Gaharu Kec. Medan Tembung, Kota Medan",3.577921,98.692328,2,2.016,6,0.5418,6,1.3221,2,0.4596,4,0.5696,0,3.5783,1,2.1674,1,2.6257,5,0.9178,27,2,862800000,2
aset-0029,4,0,0,1,2864,11,"Jl. Gatot Subroto No. 34, Kel. Pusat Pasar Kec. Medan Barat, Kota Medan",3.559721,98.63188,1,2.7895,0,5.0,0,4.0895,0,3.5718,0,4.9101,0,3.6989,0,5.0,0,5.0,0,4.1452,1,5,1100000,0
aset-0030,2,2,0,1,538,18,"Jl. Imam Bonjol No. 2, Kel. Gaharu Kec. Medan Polonia, Kota Medan",3.624343,98.676012,2,1.0156,1,2.529,2,0.5859,0,3.5292,3,1.6881,0,3.4841,0,3.8203,0,3.3758,0,3.4891,8,2,2300000,1
aset-0031,2,2,0,0,558,27,"Jl. Yos Sudarso No. 40, Kel. Kesawan Kec. Medan Area, Kota Medan",3.572146,98.697415,2,2.7972,3,1.128,5,2.1033,1,1.2003,2,1.3025,0,4.0206,0,3.0124,0,3.4775,4,1.5354,17,5,4400000,1
aset-0032,1,0,2,1,4935,28,"Jl. Putri Hijau No. 34, Kel. Kesawan Kec. Medan Baru, Kota Medan",3.554503,98.63207,1,2.9026,0,5.0,0,4.2227,0,3.5106,0,5.0,0,3.6583,0,5.0,0,5.0,0,4.6032,1,3,3100000,1
aset-0033,6,0,0,1,353,21,"Jl. Sutomo No. 40, Kel. Aur Kec. Medan Marelan, Kota Medan",3.643574,98.671717,1,1.6485,0,4.6543,1,1.9557,0,5.0,0,3.8728,0,5.0,0,5.0,0,5.0,0,5.0,2,2,3200000,0
aset-0034,6,0,1,1,967,20,"Jl. Thamrin No. 15, Kel. Sunggal Kec. Medan Sunggal, Kota Medan",3.578054,98.702037,2,2.476,3,0.8957,4,2.1412,1,1.0947,2,1.1438,0,4.5216,0,3.0797,0,3.4852,3,1.988,15,2,11700000,1
aset-0035,3,2,1,1,552,19,"Jl. Ahmad Yani No. 3, Kel. Gaharu Kec. Medan Helvetia, Kota Medan",3.617542,98.695156,3,2.2049,1,1.6049,2,2.586,0,3.8254,4,1.0651,0,4.1812,0,3.6659,0,3.4432,0,3.3884,10,2,1400000,1
aset-0036,5,0,0,1,2030,20,"Jl. Yos Sudarso No. 42, Kel. Pulo Brayan Kec. Medan Perjuangan, Kota Medan",3.606475,98.672428,4,0.7312,6,1.4991,7,0.6883,1,1.5067,7,1.0288,1,1.5191,1,1.9009,1,1.4162,5,1.4716,33,2,420700000,2
aset-0037,3,2,1,2,938,9,"Komplek Sisingamangaraja No. 2, Kel. Pasar Merah Kec. Medan Kota, Kota Medan",3.578698,98.65621,2,1.7468,3,2.3664,6,1.845,2,2.2854,2,1.5046,2,2.0585,1,2.6273,1,2.6914,4,1.1533,23,2,12500000,2
aset-0038,4,2,0,0,548,16,"Jl. Jamin Ginting No. 3, Kel. Petisah Tengah Kec. Medan Kota, Kota Medan",3.620463,98.671786,2,1.6405,1,2.4888,2,0.6218,0,3.055,3,1.5489,1,2.9298,0,3.4364,1,2.9641,1,2.9724,11,2,800000,1
aset-0039,3,2,0,0,1014,25,"Jl. Ahmad Yani No. 18, Kel. Petisah Tengah Kec. Medan Maimun, Kota Medan",3.589403,98.658126,3,2.1951,5,1.5908,6,1.9593,1,1.4837,4,0.7642,1,0.9845,1,2.0956,1,1.9411,5,0.3498,27,2,16200000,2
aset-0040,3,2,1,0,1055,13,"Jl. Setiabudi No. 45, Kel. Suka Maju Kec. Medan Barat, Kota Medan",3.542887,98.695546,0,4.8469,0,4.3496,0,4.0663,0,3.7784,0,4.4693,0,3.6904,0,5.0,0,5.0,0,3.808,0,4,500000,0
aset-0041,6,0,0,1,5493,24,"Jl. Veteran No. 25, Kel. Sikambing Kec. Medan Polonia, Kota Medan",3.62624,98.698064,1,1.999,1,2.6126,0,3.0035,0,4.7626,3,2.0411,0,5.0,0,4.6587,0,4.4049,0,4.3803,5,2,10900000,1
aset-0042,4,0,1,1,12393,24,"Jl. Sutomo No. 22, Kel. Sikambing Kec. Medan Sunggal, Kota Medan",3.611929,98.669767,4,1.2184,5,2.1194,4,1.3166,1,2.1093,5,1.2649,1,1.9554,1,2.5671,1,2.0765,3,2.0033,25,2,328400000,2
aset-0043,4,2,1,1,424,16,"Jl. Sisingamangaraja No. 16, Kel. Petisah Tengah Kec. Medan Deli, Kota Medan",3.536324,98.626734,0,4.4646,0,5.0,0,5.0,0,4.5932,0,5.0,0,4.7773,0,5.0,0,5.0,0,5.0,0,1,100000,0
aset-0044,3,0,0,1,1692,22,"Jl. Katamso No. 12, Kel. Pandan Selamat Kec. Medan Maimun, Kota Medan",3.581696,98.713468,0,3.1924,1,2.0498,1,2.7754,1,2.2717,1,2.2761,0,5.0,0,4.1511,0,4.4829,0,3.301,4,2,6300000,1
aset-0045,5,2,1,1,780,9,"Jl. Balai Kota No. 10, Kel. Pandan Selamat Kec. Medan Tembung, Kota Medan",3.609486,98.66906,4,1.1693,6,1.862,4,1.0723,1,1.8458,7,1.3263,1,1.6726,1,2.3391,1,1.8439,5,1.726,30,2,14800000,2
aset-0046,2,0,0,2,2000,8,"Jl. Ahmad Yani No. 12, Kel. Pandan Selamat Kec. Medan Kota, Kota Medan",3.593931,98.675649,3,0.5131,7,0.2182,6,0.6625,2,0.5262,8,0.6368,1,1.1878,1,0.4621,1,0.0725,7,0.3423,36,2,1137300000,2
aset-0047,3,0,0,1,107,12,"Jl. Yos Sudarso No. 22, Kel. Jati Kec. Medan Helvetia, Kota Medan",3.602699,98.662337,3,1.8853,6,1.5209,5,1.1051,1,1.4448,6,1.5516,1,0.9056,1,2.1545,1,1.706,5,1.1535,29,2,64400000,2
aset-0048,1,0,0,2,1349,20,"Jl. Veteran No. 3, Kel. Aur Kec. Medan Johor, Kota Medan",3.592995,98.659824,2,2.0354,5,1.3513,5,1.5766,1,1.2403,4,0.7262,1,0.6162,1,1.9351,1,1.6879,5,0.6956,25,2,221900000,2
aset-0049,6,2,0,1,1410,16,"Lingkungan Diponegoro No. 12, Kel. Pusat Pasar Kec. Medan Barat, Kota Medan",3.564297,98.686624,0,3.007,3,2.1769,5,2.0227,2,2.0918,3,2.1967,1,2.5711,0,3.0511,0,3.5458,4,1.2387,18,2,4600000,1
aset-0050,6,2,2,1,605,10,"Jl. Putri Hijau No. 16, Kel. Gaharu Kec. Medan Tembung, Kota Medan",3.543547,98.724049,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,4,300000,0
aset-0051,4,0,1,1,23011,20,"Jl. Balai Kota No. 32, Kel. Aur Kec. Medan Deli, Kota Medan",3.594194,98.667577,3,1.2412,6,0.5085,6,0.8379,1,0.4024,6,0.6444,1,0.2997,1,1.145,1,0.8241,7,0.0517,32,2,713400000,2
aset-0052,4,0,2,0,1353,15,"Jl. Iskandar Muda No. 34, Kel. Pandan Selamat Kec. Medan Selayang, Kota Medan",3.514361,98.660958,0,5.0,0,5.0,0,5.0,0,4.518,0,5.0,0,4.6517,0,5.0,0,5.0,0,5.0,0,3,900000,0
aset-0053,3,2,0,0,264,27,"Jl. Jamin Ginting No. 2, Kel. Padang Bulan Kec. Medan Kota, Kota Medan",3.580963,98.689107,2,1.592,7,0.664,7,0.9025,2,0.4471,6,0.4878,0,3.0974,1,1.6778,1,2.1336,6,0.7444,32,2,26400000,2
aset-0054,3,2,1,0,345,17,"Jl. Ahmad Yani No. 45, Kel. Sunggal Kec. Medan Maimun, Kota Medan",3.569952,98.714231,0,4.0515,1,2.5199,0,3.6793,1,2.7104,1,2.7671,0,5.0,0,4.6948,0,5.0,0,3.4091,3,4,200000,1
aset-0055,2,2,1,0,1725,18,"Jl. Imam Bonjol No. 20, Kel. Aur Kec. Medan Helvetia, Kota Medan",3.532888,98.601862,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,400000,0
aset-0056,1,2,1,1,530,26,"Komplek Veteran No. 12, Kel. Kesawan Kec. Medan Maimun, Kota Medan",3.590022,98.706559,1,2.1191,4,1.5625,2,1.6907,1,1.7493,4,1.6953,0,4.6452,0,3.2804,0,3.5302,2,2.7461,14,2,3000000,1
aset-0057,2,2,0,1,1012,10,"Jl. Imam Bonjol No. 36, Kel. Suka Maju Kec. Medan Deli, Kota Medan",3.634901,98.703707,1,2.5404,0,3.754,0,3.7621,0,5.0,0,3.1111,0,5.0,0,5.0,0,5.0,0,5.0,1,1,100000,0
aset-0058,3,2,0,1,10020,17,"Perumahan Setiabudi No. 32, Kel. Sei Sikambing Kec. Medan Baru, Kota Medan",3.641827,98.682183,1,1.1005,0,4.1455,1,2.1534,0,5.0,0,3.5414,0,5.0,0,5.0,0,5.0,0,5.0,2,5,8700000,1
aset-0059,2,0,1,0,5641,24,"Perumahan Sisingamangaraja No. 5, Kel. Aur Kec. Medan Area, Kota Medan",3.576435,98.681369,2,1.546,6,1.2987,7,0.5758,2,1.4314,5,1.3477,2,2.7499,1,1.5844,1,2.0771,6,0.3142,32,2,1316100000,2
aset-0060,1,2,0,1,2090,6,"Jl. Imam Bonjol No. 42, Kel. Titi Kuning Kec. Medan Maimun, Kota Medan",3.547525,98.62943,0,3.4911,0,5.0,0,4.7971,0,3.8907,0,5.0,0,4.0585,0,5.0,0,5.0,0,5.0,0,1,200000,0
aset-0061,5,0,0,1,5881,20,"Lingkungan KH Wahid Hasyim No. 20, Kel. Pusat Pasar Kec. Medan Johor, Kota Medan",3.616299,98.682965,4,1.2269,5,1.3751,3,1.7107,1,2.9112,4,0.7336,0,3.0958,1,2.9984,1,2.6324,2,2.7314,21,2,189500000,2
aset-0062,2,0,0,1,2011,25,"Jl. Sisingamangaraja No. 32, Kel. Suka Maju Kec. Medan Barat, Kota Medan",3.607316,98.627953,0,5.0,0,5.0,0,4.95,0,5.0,0,4.5881,0,4.3334,0,5.0,0,5.0,0,3.6273,0,2,8800000,0
aset-0063,4,2,0,1,805,19,"Komplek Balai Kota No. 3, Kel. Kesawan Kec. Medan Denai, Kota Medan",3.590278,98.714992,0,3.0207,1,2.402,1,2.5943,1,2.6084,2,2.5713,0,5.0,0,4.2163,0,4.4574,0,3.6794,5,2,1000000,1
aset-0064,5,2,2,1,1273,27,"Jl. Jamin Ginting No. 4, Kel. Titi Kuning Kec. Medan Perjuangan, Kota Medan",3.618368,98.678278,3,1.3776,3,1.8368,2,1.1715,1,2.9342,4,0.9783,1,2.9871,0,3.1576,1,2.7339,2,2.9098,17,2,14800000,1
aset-0065,2,2,1,1,971,14,"Jl. Sisingamangaraja No. 32, Kel. Sei Sikambing Kec. Medan Sunggal, Kota Medan",3.590926,98.633532,0,4.0387,0,4.2753,0,4.3945,0,4.1645,0,3.4988,0,3.5215,0,4.8251,0,4.6147,1,2.3921,1,4,1100000,0
aset-0066,6,0,1,2,1359,10,"Jl. Pemuda No. 7, Kel. Bantan Kec. Medan Deli, Kota Medan",3.5996,98.665082,3,1.7006,6,1.062,5,0.7716,1,0.9848,6,1.1787,1,0.5115,1,1.6996,1,1.2645,5,0.7018,29,2,155400000,2
aset-0067,3,0,1,1,2017,7,"Jl. Katamso No. 30, Kel. Bantan Kec. Medan Sunggal, Kota Medan",3.56404,98.621854,0,3.8801,0,5.0,0,5.0,0,4.754,0,5.0,0,4.8711,0,5.0,0,5.0,0,4.6081,0,0,7200000,0
aset-0068,1,2,0,0,1523,22,"Jl. Teuku Cik Ditiro No. 7, Kel. Aur Kec. Medan Selayang, Kota Medan",3.587136,98.707837,1,2.3636,4,1.5348,1,1.939,1,1.7428,3,1.7096,0,4.8337,0,3.437,0,3.7232,3,2.8674,13,2,5300000,1
aset-0069,4,0,1,0,964,22,"Jl. KH Wahid Hasyim No. 20, Kel. Sunggal Kec. Medan Barat, Kota Medan",3.55572,98.663556,1,1.1034,0,4.0906,1,1.3478,1,0.0925,0,3.388,1,0.1633,0,4.0934,0,4.442,0,3.1211,4,0,1900000,1
aset-0070,6,0,0,0,602,25,"Jl. Sutomo No. 16, Kel. Pusat Pasar Kec. Medan Helvetia, Kota Medan",3.54054,98.714526,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,600000,0
aset-0071,2,2,0,0,913,22,"Komplek Thamrin No. 5, Kel. Suka Maju Kec. Medan Area, Kota Medan",3.55268,98.633116,1,2.868,0,5.0,0,4.1861,0,3.4032,0,5.0,0,3.5577,0,5.0,0,5.0,0,4.7125,1,1,800000,0
aset-0072,6,0,0,2,2602,24,"Jl. Setiabudi No. 50, Kel. Sunggal Kec. Medan Kota, Kota Medan",3.582315,98.700723,2,2.0206,5,0.6361,5,1.6652,1,0.8578,4,0.8604,0,4.2079,1,2.7679,0,3.1364,5,1.948,23,2,46600000,2
aset-0073,4,0,1,1,2238,8,"Jl. KH Wahid Hasyim No. 50, Kel. Titi Kuning Kec. Medan Helvetia, Kota Medan",3.539362,98.649086,1,2.7644,0,5.0,0,3.7217,1,2.3698,0,5.0,1,2.5578,0,5.0,0,5.0,0,5.0,3,0,7100000,1
aset-0074,6,2,2,1,2620,16,"Jl. KH Wahid Hasyim No. 36, Kel. Titi Kuning Kec. Medan Area, Kota Medan",3.592301,98.680344,3,0.3805,7,0.4832,6,0.3962,2,1.0399,8,0.4178,1,1.7291,1,0.4507,1,0.6224,7,0.2382,36,2,60000000,2
aset-0075,4,0,2,1,2350,15,"Jl. Cut Mutia No. 14, Kel. Merdeka Kec. Medan Helvetia, Kota Medan",3.549609,98.720994,0,5.0,0,4.6146,0,5.0,0,4.7566,0,4.8413,0,5.0,0,5.0,0,5.0,0,4.9982,0,3,4000000,0
aset-0076,6,0,2,1,768,27,"Jl. Teuku Cik Ditiro No. 48, Kel. Titi Kuning Kec. Medan Polonia, Kota Medan",3.58316,98.705494,1,2.3567,3,1.1717,3,1.9576,1,1.3925,3,1.3866,0,4.6827,0,3.2523,0,3.5923,3,2.4798,14,2,12700000,1
aset-0077,1,0,0,0,1751,10,"Jl. Iskandar Muda No. 24, Kel. Sunggal Kec. Medan Kota, Kota Medan",3.556974,98.623965,0,3.7051,0,5.0,0,5.0,0,4.4158,0,5.0,0,4.5553,0,5.0,0,5.0,0,4.9542,0,5,1300000,0
aset-0078,2,0,0,1,13018,20,"Jl. Katamso No. 45, Kel. Gaharu Kec. Medan Marelan, Kota Medan",3.593001,98.68433,3,0.5269,7,0.391,6,0.7401,2,1.4793,8,0.4978,1,2.1567,1,0.8792,1,1.0414,6,0.6861,35,2,3277600000,2
aset-0079,4,0,2,0,3417,20,"Jl. Putri Hijau No. 45, Kel. Polonia Kec. Medan Sunggal, Kota Medan",3.57931,98.715434,0,3.514,1,2.2873,0,3.101,1,2.5076,1,2.5232,0,5.0,0,4.4278,0,4.7753,0,3.4813,3,3,600000,1
aset-0080,3,2,1,0,303,14,"Jl. Gatot Subroto No. 15, Kel. Bantan Kec. Medan Baru, Kota Medan",3.591843,98.698091,3,1.1641,7,1.147,5,0.7376,1,1.2317,7,1.1341,0,3.689,1,2.3495,1,2.5737,5,1.8651,30,2,80500000,2
aset-0081,2,0,0,0,964,9,"Jl. Teuku Cik Ditiro No. 36, Kel. Pandan Selamat Kec. Medan Deli, Kota Medan",3.50978,98.662733,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,1500000,0
aset-0082,1,0,0,0,2409,15,"Lorong Sisingamangaraja No. 30, Kel. Sei Sikambing Kec. Medan Labuhan, Kota Medan",3.589527,98.612226,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,4.7473,0,0,2400000,0
aset-0083,2,0,0,0,1060,11,"Jl. Sisingamangaraja No. 24, Kel. Sei Sikambing Kec. Medan Helvetia, Kota Medan",3.596317,98.677211,3,0.7176,7,0.4985,6,0.7284,2,0.7817,8,0.422,1,1.363,1,0.7028,1,0.3558,7,0.4708,36,2,814000000,2
aset-0084,4,0,2,1,734,26,"Jl. Teuku Daud No. 32, Kel. Sikambing Kec. Medan Tembung, Kota Medan",3.598955,98.673328,3,1.0049,6,0.6784,6,0.21,2,0.7108,8,0.9126,1,1.0235,1,1.0759,1,0.5814,7,0.8082,35,2,422300000,2
aset-0085,2,0,0,1,1641,7,"Jl. Thamrin No. 22, Kel. Petisah Tengah Kec. Medan Perjuangan, Kota Medan",3.550067,98.622944,0,4.0232,0,5.0,0,5.0,0,4.555,0,5.0,0,4.7138,0,5.0,0,5.0,0,5.0,0,0,2700000,0
aset-0086,1,0,2,1,719,18,"Jl. Sutomo No. 45, Kel. Aur Kec. Medan Polonia, Kota Medan",3.540891,98.610919,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,1900000,0
aset-0087,5,0,2,0,1262,16,"Jl. Imam Bonjol No. 2, Kel. Bantan Kec. Medan Sunggal, Kota Medan",3.531925,98.61895,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,500000,0
aset-0088,1,2,0,1,394,27,"Perumahan Setiabudi No. 42, Kel. Padang Bulan Kec. Medan Denai, Kota Medan",3.592115,98.679864,3,0.3289,7,0.429,6,0.3594,2,0.9886,8,0.4501,1,1.6805,1,0.3954,1,0.5791,7,0.1849,36,2,48000000,2
aset-0089,1,2,1,1,2123,8,"Lingkungan Veteran No. 6, Kel. Titi Kuning Kec. Medan Helvetia, Kota Medan",3.614977,98.658662,1,2.4679,1,2.8571,2,1.8377,1,2.8012,3,2.54,1,2.33,0,3.4431,1,2.9543,2,2.5524,12,2,4500000,1
aset-0090,3,0,1,0,3165,21,"Jl. Marelan Raya No. 45, Kel. Sunggal Kec. Medan Denai, Kota Medan",3.598643,98.694065,3,0.7237,7,0.976,6,0.5145,2,1.8544,7,1.0624,0,3.2508,1,2.1237,1,2.1778,6,1.8625,33,2,770800000,2
aset-0091,3,0,2,1,5045,22,"Jl. Imam Bonjol No. 28, Kel. Sikambing Kec. Medan Marelan, Kota Medan",3.574368,98.693175,2,2.42,5,0.8725,6,1.5724,1,0.8489,4,0.96,0,3.7348,1,2.4987,1,2.9722,5,1.0213,25,2,218200000,2
aset-0092,1,2,0,1,1483,19,"Jl. Sutomo No. 34, Kel. Padang Bulan Kec. Medan Kota, Kota Medan",3.605938,98.672778,3,0.6905,6,1.4412,7,0.6328,1,1.4521,7,1.0181,1,1.4914,1,1.8331,1,1.3501,5,1.4294,32,2,192600000,2
